club,coHo,league,seasonStart,seasonEnd,season,wages
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,2009,2010,20092010,12279098
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,2010,2011,20102011,13455967
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,2011,2012,20112012,26114422
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,2012,2013,20122013,43500089
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,2013,2014,20132014,59629e3
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,2014,2015,20142015,77582e3
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,2015,2016,20152016,82209e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,1992,1993,19921993,3763685
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,1993,1994,19931994,3800700
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,1994,1995,19941995,5484e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,1995,1996,19951996,6207e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,1996,1997,19961997,8298e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,1997,1998,19971998,10984e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,1998,1999,19981999,17314e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,1999,2000,19992000,23976e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,2000,2001,20002001,30364e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,2001,2002,20012002,30978e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,2002,2003,20022003,30814e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,2003,2004,20032004,20856e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,2004,2005,20042005,17731e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,2005,2006,20052006,28397e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,2006,2007,20062007,41322e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,2007,2008,20072008,61755e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,2008,2009,20082009,66645e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,2009,2010,20092010,53647e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,2010,2011,20102011,55704e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,2011,2012,20112012,41645e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,2012,2013,20122013,5622e4
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,2013,2014,20132014,6388e4
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,2014,2015,20142015,72715e3
West Ham,https://beta.companieshouse.gov.uk/company/00066516/filing-history,ENG,2015,2016,20152016,84633e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,1992,1993,19921993,4662e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,1993,1994,19931994,6575e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,1994,1995,19941995,10391e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,1995,1996,19951996,19746e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,1996,1997,19961997,17487e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,1997,1998,19971998,22335e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,1998,1999,19981999,24491e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,1999,2000,19992000,28869e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,2000,2001,20002001,26686e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,2001,2002,20012002,32055e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,2002,2003,20022003,45195e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,2003,2004,20032004,4488e4
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,2004,2005,20042005,50222e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,2005,2006,20052006,52183e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,2006,2007,20062007,56709e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,2007,2008,20072008,74562e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,2008,2009,20082009,73312e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,2009,2010,20092010,47458e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,2010,2011,20102011,53585e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,2011,2012,20112012,64097e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,2012,2013,20122013,61706e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,2013,2014,20132014,78297e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,2014,2015,20142015,65087e3
Newcastle,https://beta.companieshouse.gov.uk/company/02529667/filing-history,ENG,2015,2016,20152016,74668e3
Aston Villa,https://beta.companieshouse.gov.uk/company/00046572/filing-history,ENG,1992,1993,19921993,4498e3
Aston Villa,https://beta.companieshouse.gov.uk/company/00046572/filing-history,ENG,1993,1994,19931994,6248e3
Aston Villa,https://beta.companieshouse.gov.uk/company/00046572/filing-history,ENG,1994,1995,19941995,7139e3
Aston Villa,https://beta.companieshouse.gov.uk/company/00046572/filing-history,ENG,1995,1996,19951996,7717e3
Aston Villa,https://beta.companieshouse.gov.uk/company/00046572/filing-history,ENG,1996,1997,19961997,1007e4
Aston Villa,https://beta.companieshouse.gov.uk/company/00046572/filing-history,ENG,1997,1998,19971998,12388e3
Aston Villa,https://beta.companieshouse.gov.uk/company/00046572/filing-history,ENG,1998,1999,19981999,17339e3
Aston Villa,https://beta.companieshouse.gov.uk/company/00046572/filing-history,ENG,1999,2000,19992000,21551e3
Aston Villa,https://beta.companieshouse.gov.uk/company/00046572/filing-history,ENG,2000,2001,20002001,2488e4
Aston Villa,https://beta.companieshouse.gov.uk/company/00046572/filing-history,ENG,2001,2002,20012002,30872e3
Aston Villa,https://beta.companieshouse.gov.uk/company/00046572/filing-history,ENG,2002,2003,20022003,3231e4
Aston Villa,https://beta.companieshouse.gov.uk/company/00046572/filing-history,ENG,2003,2004,20032004,33767e3
Aston Villa,https://beta.companieshouse.gov.uk/company/00046572/filing-history,ENG,2004,2005,20042005,33134e3
Aston Villa,https://beta.companieshouse.gov.uk/company/00046572/filing-history,ENG,2005,2006,20052006,38255e3
Aston Villa,https://beta.companieshouse.gov.uk/company/02502822/filing-history,ENG,2006,2007,20062007,42007920
Aston Villa,https://beta.companieshouse.gov.uk/company/03375789/filing-history,ENG,2007,2008,20072008,50446810
Aston Villa,https://beta.companieshouse.gov.uk/company/02502822/filing-history,ENG,2008,2009,20082009,70575147
Aston Villa,https://beta.companieshouse.gov.uk/company/03375789/filing-history,ENG,2009,2010,20092010,79974309
Aston Villa,https://beta.companieshouse.gov.uk/company/02502822/filing-history,ENG,2010,2011,20102011,83394993
Aston Villa,https://beta.companieshouse.gov.uk/company/03375789/filing-history,ENG,2011,2012,20112012,69608717
Aston Villa,https://beta.companieshouse.gov.uk/company/02502822/filing-history,ENG,2012,2013,20122013,71879569
